역이름,구
가락시장역,송파구
가락시장역,송파구
가산디지털단지역,금천구
강남구청역,강남구
강남역,강남구
강동구청역,강동구
강동역,강동구
강변(동서울터미널)역,광진구
개롱역,송파구
개화산역,강서구
거여역,송파구
건대입구역,광진구
건대입구역,광진구
경복궁(정부서울청사)역,종로구
경찰병원역,송파구
고덕역,강동구
고려대(종암)역,성북구
고속터미널역,서초구
고속터미널역,서초구
공덕역,마포구
공덕역,마포구
공릉(서울과학기술대)역,노원구
광나루(장신대)역,광진구
광화문(세종문화회관)역,종로구
광흥창(서강)역,마포구
교대(법원·검찰청)역,서초구
교대(법원·검찰청)역,서초구
구로디지털단지역,구로구
구산역,은평구
구의(광진구청)역,광진구
구파발역,은평구
군자(능동)역,광진구
군자(능동)역,광진구
굽은다리(강동구민회관앞)역,강동구
금호역,성동구
길동역,강동구
길음역,성북구
김포공항역,강서구
까치산역,강서구
낙성대역,관악구
남구로역,구로구
남부터미널(예술의전당)역,서초구
남성역,동작구
남태령역,서초구
내방역,서초구
노원역,노원구
노원역,노원구
녹번역,은평구
녹사평(용산구청)역,용산구
논현역,강남구
답십리역,성동구
당고개역,노원구
당산역,영등포구
대림(구로구청)역,구로구
대림(구로구청)역,구로구
대청역,강남구
대치역,강남구
대흥(서강대앞)역,마포구
도곡역,강남구
도림천역,구로구
도봉산역,도봉구
독립문역,서대문구
독바위역,은평구
돌곶이역,성북구
동대문역,종로구
동대문역,종로구
동대문역사문화공원역,중구
동대문역사문화공원역,중구
동대문역사문화공원역,중구
동대입구역,중구
동묘앞역,종로구
동묘앞역,종로구
동작(현충원)역,동작구
둔촌동역,강동구
디지털미디어시티역,은평구
뚝섬역,성동구
뚝섬유원지역,광진구
마곡역,강서구
마들역,노원구
마장역,성동구
마천역,송파구
마포구청역,마포구
마포역,마포구
망원역,마포구
매봉역,강남구
먹골역,중랑구
면목역,중랑구
명동역,중구
명일역,강동구
목동역,양천구
몽촌토성(평화의문)역,송파구
무악재역,서대문구
문래역,영등포구
문정역,송파구
미아(서울사이버대학)역,강북구
미아사거리역,강북구
반포역,서초구
발산역,강서구
방배역,서초구
방이역,송파구
방화역,강서구
버티고개역,중구
보라매역,동작구
보문역,성북구
복정역,송파구
봉천역,관악구
봉화산(서울의료원)역,중랑구
불광역,은평구
불광역,은평구
사가정역,중랑구
사당역,동작구
사당역,동작구
삼각지역,용산구
삼각지역,용산구
삼성(무역센터)역,강남구
상계역,노원구
상도역,동작구
상봉(시외버스터미널)역,중랑구
상수역,마포구
상왕십리역,성동구
상월곡(한국과학기술연구원)역,성북구
상일동역,강동구
새절(신사)역,은평구
서대문역,종로구
서울대입구(관악구청)역,관악구
서울역,중구
서울역,중구
서초역,서초구
석계역,노원구
석촌역,송파구
선릉역,강남구
성수역,성동구
성신여대입구(돈암)역,성북구
송정역,강서구
송파역,송파구
수락산역,노원구
수서역,강남구
수유(강북구청)역,강북구
숙대입구(갈월)역,용산구
숭실대입구(살피재)역,동작구
시청역,중구
시청역,중구
신금호역,성동구
신길역,영등포구
신답역,성동구
신당역,중구
신당역,중구
신대방삼거리역,동작구
신대방역,동작구
신도림역,구로구
신림역,관악구
신사역,강남구
신설동역,동대문구
신설동역,동대문구
신용산역,용산구
신정(은행정)역,양천구
신정네거리역,양천구
신촌역,마포구
신풍역,영등포구
쌍문역,도봉구
아차산(어린이대공원후문)역,광진구
아현역,마포구
안국역,종로구
안암(고대병원앞)역,성북구
암사역,강동구
압구정역,강남구
애오개역,마포구
약수역,중구
약수역,중구
양재(서초구청)역,서초구
양천구청역,양천구
양평역,영등포구
어린이대공원(세종대)역,광진구
여의나루역,영등포구
여의도역,영등포구
역삼역,강남구
역촌역,은평구
연신내역,은평구
연신내역,은평구
영등포구청역,영등포구
영등포구청역,영등포구
영등포시장역,영등포구
오금역,송파구
오금역,송파구
오목교(목동운동장앞)역,양천구
옥수역,성동구
온수(성공회대입구)역,구로구
올림픽공원(한국체대)역,송파구
왕십리(성동구청)역,성동구
왕십리(성동구청)역,성동구
용답역,성동구
용두(동대문구청)역,동대문구
용마산역,중랑구
우장산역,강서구
월곡(동덕여대)역,성북구
월드컵경기장(성산)역,마포구
을지로3가역,중구
을지로3가역,중구
을지로4가역,중구
을지로4가역,중구
을지로입구역,중구
응암역,은평구
이대역,마포구
이수역,동작구
이촌(국립중앙박물관)역,용산구
이태원역,용산구
일원역,강남구
잠실(송파구청)역,송파구
잠실(송파구청)역,송파구
잠실나루역,송파구
잠실새내역,송파구
잠원역,서초구
장승배기역,동작구
장지역,송파구
장한평역,동대문구
제기동역,동대문구
종각역,종로구
종로3가(탑골공원)역,종로구
종로3가역,종로구
종로3가역,종로구
종로5가역,종로구
종합운동장역,송파구
중계역,노원구
중곡역,광진구
중화역,중랑구
증산(명지대앞)역,은평구
창동역,도봉구
창신역,종로구
천왕역,구로구
천호(풍납토성)역,강동구
천호(풍납토성)역,강동구
청구역,중구
청구역,중구
청담역,강남구
청량리(서울시립대입구)역,동대문구
총신대입구(이수)역,동작구
충무로역,중구
충무로역,중구
충정로(경기대입구)역,서대문구
충정로(경기대입구)역,서대문구
태릉입구역,노원구
태릉입구역,노원구
하계역,노원구
학동역,강남구
학여울역,강남구
한강진역,용산구
한성대입구(삼선교)역,성북구
한양대역,성동구
합정역,마포구
합정역,마포구
행당역,성동구
혜화역,종로구
홍대입구역,마포구
홍제역,서대문구
화곡역,강서구
화랑대(서울여대입구)역,노원구
회현(남대문시장)역,중구
효창공원앞역,용산구
